profile,school,schoolName,deviation,strategy,runs,fullPassRate,acceptedRate,waitlistRate,legendRate,failedRate,avgAcademics,avgTrust,avgFace,avgLooks,avgStamina,avgStress,topCards
bancho,teio,帝王義塾大学,68,social,1000,0.811,0.986,0.004,0.000,0.010,97.3,92.9,67.9,97.4,68.4,31.1,cram_school:67.5 sleep_early:46.3 rescue_fight:23.8 ramen_meeting:6.4
bancho,tenrei,国立天嶺大学,74,balanced,1000,0.639,0.643,0.063,0.000,0.294,82.1,68.3,71.7,74.6,96.7,68.7,sleep_early:39.0 cram_school:38.5 ramen_meeting:38.0 study_library:10.4
bancho,tenrei,国立天嶺大学,74,academic,1000,0.432,0.541,0.005,0.000,0.454,94.6,45.5,45.6,49.8,94.5,81.3,sleep_early:44.0 cram_school:40.6 study_library:29.2 ramen_meeting:24.7
bancho,tenrei,国立天嶺大学,74,random,1000,0.000,0.000,0.000,0.071,0.929,17.9,35.6,50.2,13.3,17.2,85.1,sleep_early:31.6 ramen_meeting:31.3 cram_school:27.9 study_library:24.4
bancho,tenrei,国立天嶺大学,74,social,1000,0.127,0.291,0.022,0.001,0.686,71.3,53.6,37.6,52.5,96.9,78.7,cram_school:62.2 sleep_early:44.9 ramen_meeting:19.2 rescue_fight:17.6
gyaru,johoku,城北実学大学,52,balanced,1000,0.796,0.796,0.204,0.000,0.000,76.0,99.3,99.8,99.0,51.0,11.2,ramen_meeting:75.4 cram_school:20.9 mock_exam:17.9 sleep_early:13.3
gyaru,johoku,城北実学大学,52,academic,1000,0.942,1.000,0.000,0.000,0.000,99.7,98.0,46.0,99.5,19.2,33.2,cram_school:69.5 sleep_early:38.9 study_library:30.9 rescue_fight:4.7
gyaru,johoku,城北実学大学,52,random,1000,0.933,0.933,0.046,0.020,0.001,93.0,98.6,97.6,98.6,22.0,35.8,sleep_early:31.1 ramen_meeting:30.3 cram_school:28.3 study_library:25.1
gyaru,johoku,城北実学大学,52,social,1000,0.996,0.996,0.001,0.000,0.003,87.8,74.4,72.7,99.9,99.0,1.6,sleep_early:75.2 cram_school:46.9 rescue_fight:21.5 ramen_meeting:0.4
gyaru,toto,東都学院大学,60,balanced,1000,0.816,0.816,0.184,0.000,0.000,84.1,99.4,99.8,99.1,52.3,32.0,ramen_meeting:66.5 cram_school:26.1 sleep_early:17.1 mock_exam:16.1
gyaru,toto,東都学院大学,60,academic,1000,0.949,1.000,0.000,0.000,0.000,99.3,92.5,51.5,90.2,27.8,69.4,cram_school:68.7 sleep_early:38.4 study_library:30.4 rescue_fight:4.6
gyaru,toto,東都学院大学,60,random,1000,0.809,0.810,0.105,0.075,0.010,90.0,95.7,96.5,89.3,21.7,67.2,sleep_early:30.9 ramen_meeting:30.5 cram_school:28.6 study_library:25.3
gyaru,toto,東都学院大学,60,social,1000,0.983,0.992,0.000,0.000,0.008,93.8,82.6,74.1,99.4,95.2,6.1,sleep_early:64.2 cram_school:53.3 rescue_fight:26.3 ramen_meeting:0.3
gyaru,teio,帝王義塾大学,68,balanced,1000,0.816,0.816,0.181,0.000,0.003,92.1,98.9,98.9,99.1,42.9,46.3,ramen_meeting:45.5 cram_school:39.0 sleep_early:26.8 rescue_fight:14.0
gyaru,teio,帝王義塾大学,68,academic,1000,0.961,0.998,0.000,0.000,0.002,99.4,90.4,58.4,89.5,31.6,74.1,cram_school:64.5 sleep_early:39.1 study_library:31.7 ramen_meeting:5.4
gyaru,teio,帝王義塾大学,68,random,1000,0.418,0.418,0.230,0.264,0.088,82.5,93.0,93.3,82.7,17.0,76.4,ramen_meeting:31.9 sleep_early:31.6 cram_school:28.4 study_library:24.2
gyaru,teio,帝王義塾大学,68,social,1000,0.856,0.995,0.003,0.000,0.002,97.9,92.5,69.6,98.1,70.8,28.7,cram_school:63.3 sleep_early:49.9 rescue_fight:27.4 ramen_meeting:3.4
gyaru,tenrei,国立天嶺大学,74,balanced,1000,0.658,0.677,0.063,0.000,0.260,88.5,70.9,71.3,77.6,96.7,68.2,cram_school:47.5 sleep_early:45.9 ramen_meeting:21.8 rescue_fight:20.7
gyaru,tenrei,国立天嶺大学,74,academic,1000,0.468,0.614,0.000,0.000,0.386,95.2,52.9,56.6,60.1,94.2,80.8,cram_school:49.5 sleep_early:43.9 study_library:29.9 ramen_meeting:16.2
gyaru,tenrei,国立天嶺大学,74,random,1000,0.000,0.000,0.001,0.103,0.896,24.7,49.7,66.7,19.8,16.7,84.6,sleep_early:31.8 ramen_meeting:31.5 cram_school:28.1 study_library:24.5
gyaru,tenrei,国立天嶺大学,74,social,1000,0.147,0.360,0.032,0.002,0.606,83.1,62.6,43.8,64.2,96.3,77.2,cram_school:65.0 sleep_early:46.7 rescue_fight:20.0 ramen_meeting:12.3
